speaker,speaker's job title,state,party,true counts,mostly true counts,half true counts,mostly false counts,false counts,pants on fire counts,count
Russell Brand,,,None,0,0,0,0,1,0,1
Russ Girling,,,None,0,0,0,0,1,0,1
Russ Fulcher,,Idaho,Republican,0,0,0,0,1,0,1
Russ Carnahan,,Missouri,Democrat,0,0,0,0,1,0,1
Rush Darwish,,,Democrat,0,0,0,1,0,0,1
Rudy Moise,,Florida,Democrat,0,0,0,0,1,0,1
Ruben Navarrette Jr.,,,None,0,1,0,0,0,0,1
Ruben Kihuen,,Nevada,Democrat,0,0,1,0,0,0,1
Ruben Hinojosa,,Texas,Democrat,1,0,0,0,0,0,1
Ruben Gallego,,,Democrat,0,1,0,0,0,0,1
Royce West,,,Democrat,0,0,0,0,1,0,1
Roy Zimmerman,,California,Activist,0,0,1,0,0,0,1
Roy Barnes And Nathan Deal,,,None,0,0,0,0,0,1,1
Roxanne Ross,,Oregon,None,0,0,0,0,0,1,1
Ross Douthat,,,None,1,0,0,0,0,0,1
Rosemary Lehmberg,,Texas,Democrat,0,0,0,1,0,0,1
Rosemary Laird,,,None,0,1,0,0,0,0,1
Rose Mary Grant,,Rhode Island,Activist,0,1,0,0,0,0,1
Rose Ferlita,,,None,0,0,0,0,1,0,1
Rosa Delauro,,,Democrat,1,0,0,0,0,0,1
Ronnie Earle,,Texas,Democrat,0,1,0,0,0,0,1
Ronan Farrow,,,None,0,0,0,1,0,0,1
Ronald Rice,,New Jersey,Democrat,0,0,0,0,1,0,1
Ronald Renuart,,Florida,Republican,0,0,0,0,1,0,1
Ronald Brownstein,,,Journalist,1,0,0,0,0,0,1
Ron Tusler,,,Republican,0,0,0,0,0,1,1
Ron Stephens,,Georgia,Republican,1,0,0,0,0,0,1
Ron Shipman,,Georgia,None,0,1,0,0,0,0,1
Ron Saunders,,Florida,Democrat,0,1,0,0,0,0,1
Ron Meyer,,Virginia,Republican,0,0,1,0,0,0,1
Ron Mcmullen,,,None,1,0,0,0,0,0,1
Ron Klain,,,Democrat,0,0,0,1,0,0,1
Ron Kim,,,Democrat,0,0,1,0,0,0,1
Ron Hood,,Ohio,Republican,0,0,0,0,0,1,1
Ron Hayduk,,New York,Activist,0,1,0,0,0,0,1
Ron Gerberry,,Ohio,Democrat,0,1,0,0,0,0,1
Ron Fournier,,,Columnist,1,0,0,0,0,0,1
Ron Davis,,Texas,Democrat,0,0,1,0,0,0,1
Ron Christie,,,Republican,0,0,0,1,0,0,1
"Ron Castorina, Jr.",,,Republican,0,0,0,0,0,1,1
Ron Bergeron,,,State official,0,1,0,0,0,0,1
Romney Allies,,,None,0,0,1,0,0,0,1
Roman Prezioso,,,Democrat,0,1,0,0,0,0,1
Roman Mcallen,,,Democrat,1,0,0,0,0,0,1
Romaine Quinn,,,Republican,0,0,1,0,0,0,1
Roland Martin,,,Journalist,0,1,0,0,0,0,1
Roland Gutierrez,,,Democrat,0,0,0,0,1,0,1
Roger Marshall,,,Republican,0,0,0,1,0,0,1
Roger Falk,,,None,0,0,0,0,1,0,1
Rodman Debra,,,Democrat,0,0,0,0,1,0,1
Rod Blum,,,Republican,0,0,1,0,0,0,1
Rod Blagojevich,,,Democrat,0,0,0,0,0,1,1
Rock The Vote,,,None,0,0,1,0,0,0,1
Robocaller,,,None,0,0,0,0,0,1,1
Robin Schimminger,,New York,Democrat,0,0,0,0,1,0,1
Robin Hayes,,,Republican,0,0,0,1,0,0,1
Roberto Alonzo,,Texas,Democrat,0,0,0,0,1,0,1
Roberta Lange,,Nevada,Democrat,0,1,0,0,0,0,1
Robert Walsh,,Rhode Island,Labor leader,0,0,0,0,0,1,1
Robert Uithoven,,Nevada,Republican,0,0,1,0,0,0,1
Robert Spindell,,,Republican,0,0,0,1,0,0,1
Robert Singer,,New Jersey,Republican,0,0,0,1,0,0,1
Robert Ortt,,,Republican,0,0,0,1,0,0,1
Robert Mujica,,,State official,1,0,0,0,0,0,1
Robert Mckinzie,,,Democrat,0,0,0,0,1,0,1
Robert Mcdonald,,,None,0,0,0,0,1,0,1
Robert Malin,,Rhode Island,Activist,0,0,0,1,0,0,1
Robert Kraig,,,None,0,1,0,0,0,0,1
Robert Koons,,,Republican,0,0,0,0,1,0,1
Robert Kando,,Rhode Island,State official,0,0,1,0,0,0,1
Robert Jacquard,,Rhode Island,Democrat,1,0,0,0,0,0,1
Robert Flanders,,Rhode Island,State official,0,0,1,0,0,0,1
Robert Duffy,,,Democrat,0,1,0,0,0,0,1
Robert Dold,,Illinois,Republican,0,0,0,0,1,0,1
Robert Dimuccio,,,Newsmaker,1,0,0,0,0,0,1
Robert Deuell,,Texas,Republican,0,1,0,0,0,0,1
Robert Chody,,,Republican,0,0,0,0,1,0,1
Robert Bennett,,Utah,Republican,0,0,1,0,0,0,1
Robert Barber,,Rhode Island,Newsmaker,0,0,0,0,1,0,1
Robert Astorino,,,Republican,1,0,0,0,0,0,1
Rob Swearingen,,,Republican,0,0,0,0,1,0,1
Rob Schmitt,,,Talk show host,0,0,1,0,0,0,1
Rob Moshein,,Texas,Democrat,0,0,1,0,0,0,1
Rob Hutton,,,Republican,1,0,0,0,0,0,1
Rob Gleason,,Pennsylvania,Republican,0,0,0,1,0,0,1
Rob Eissler,,Texas,Republican,0,0,0,0,0,1,1
Rob Bovett,,Oregon,None,1,0,0,0,0,0,1
Rob Astorino,,New York,Republican,0,0,0,0,1,0,1
Rob Andrews,,New Jersey,Democrat,0,0,0,0,1,0,1
Rightmarch.Com,,,None,0,0,0,0,1,0,1
Ridesharing Works For Austin,,,None,0,0,0,0,1,0,1
Rickey Padgett,,,Republican,0,0,0,0,1,0,1
Rick Saccone,,Pennsylvania,Republican,0,1,0,0,0,0,1
Rick Range,,,Republican,0,0,0,0,0,1,1
Rick North,,Oregon,Columnist,1,0,0,0,0,0,1
Rick Mcallister,,,None,0,0,1,0,0,0,1
Rick Hardcastle,,Texas,Republican,0,0,0,0,0,1,1
Rick Gundrum,,,Republican,0,1,0,0,0,0,1
Rick Boucher,,Virginia,Democrat,0,0,0,1,0,0,1
Rick Barber,,Alabama,Republican,0,0,0,0,0,1,1
Rick Allen,,Georgia,Republican,0,0,0,0,1,0,1
Richard Woods,,Georgia,Republican,1,0,0,0,0,0,1
Richard Swett,,New Hampshire,Democrat,0,0,1,0,0,0,1
Richard Shelby,,Alabama,Republican,0,0,0,0,1,0,1
Richard Pan,,California,Democrat,0,0,0,0,1,0,1
Richard Paglia,,,None,0,0,1,0,0,0,1
Richard Morrison,,Rhode Island,Democrat,0,0,1,0,0,0,1
Richard Lugar,,Indiana,Republican,0,1,0,0,0,0,1
Richard Land,,,None,0,0,0,1,0,0,1
Richard Franklin Iii,,,Democrat,0,0,0,1,0,0,1
Richard Besser,,,None,0,0,1,0,0,0,1
Richard August,,Rhode Island,Talk show host,1,0,0,0,0,0,1
Rich Zipperer,,Wisconsin,Republican,0,0,0,1,0,0,1
Rich Golick,,Georgia,Republican,1,0,0,0,0,0,1
Ricardo Lara,,,Democrat,0,0,1,0,0,0,1
Rhue Reis,,Rhode Island,Republican,0,0,0,0,1,0,1
Rhode Island Tea Party,,,None,0,0,0,0,0,1,1
Rhode Island Senate,,,None,0,1,0,0,0,0,1
Rhode Island Retirement Security Coalition,,Rhode Island,Organization,0,0,0,1,0,0,1
Rhode Island Aclu,,,Organization,1,0,0,0,0,0,1
Reza Aslan,,California,None,0,1,0,0,0,0,1
Revolutionradio.Org,,,None,0,0,0,0,1,0,1
Restore American Freedom And Liberty,,,Organization,0,0,0,0,1,0,1
Resistance Report,,,Organization,0,0,0,0,0,1,1
Republican State Senators,,,Republican,0,0,0,0,0,1,1
Republican News,,,Republican,0,0,0,0,1,0,1
"Reps. Keith Rothfus, Mike Kelly And Bill Shuster",,,Republican,0,0,0,1,0,0,1
Represent.Us,,,None,0,1,0,0,0,0,1
Renewable Fuels Association,,"Washington, D.C.",None,0,0,0,1,0,0,1
Renee Hoagenson,,,Democrat,0,0,1,0,0,0,1
Renee Ellmers,,North Carolina,Republican,0,0,0,1,0,0,1
Rene Garcia,,Florida,Republican,0,0,0,1,0,0,1
Religionmind.Com,,,None,0,0,0,0,0,1,1
Regina Benjamin,,,None,1,0,0,0,0,0,1
Rees Lloyd,,Oregon,None,0,0,0,1,0,0,1
Reed Gusciora,,New Jersey,Democrat,0,1,0,0,0,0,1
Recovery.Gov,,,None,0,0,0,1,0,0,1
Reclaim America Pac,,,Republican,0,0,1,0,0,0,1
Rebecca Quigley,,Rhode Island,None,0,0,0,0,1,0,1
Rebecca Holcombe,,,Democrat,0,0,0,1,0,0,1
Rebecca Blank,,,None,0,0,1,0,0,0,1
Rearfront.Com,,,None,0,0,0,0,1,0,1
Realtimepolitics,,,None,0,0,0,0,1,0,1
Realtime Politics,,,None,0,0,0,0,1,0,1
Realnewsrightnow.Com,,,None,0,0,0,0,0,1,1
Really American,,,Democrat,0,1,0,0,0,0,1
Raúl Castro,,,None,0,0,0,0,1,0,1
Raymond Walter,,,Republican,0,0,1,0,0,0,1
Raymond Gallison,,Rhode Island,Democrat,0,0,1,0,0,0,1
Raymond Frank,,Texas,Republican,0,1,0,0,0,0,1
Ray Mcberry,,,Republican,0,0,0,0,0,1,1
Ray Lewis,,,None,0,0,0,0,1,0,1
Ray Cross,,,None,1,0,0,0,0,0,1
Raw Story,,,None,0,0,1,0,0,0,1
Raul Torres,,Texas,Republican,1,0,0,0,0,0,1
Rashida Tlaib,,,Democrat,0,1,0,0,0,0,1
Rashad Taylor,,Georgia,Democrat,1,0,0,0,0,0,1
Randy Neugebauer,,Texas,Republican,0,0,0,0,0,1,1
Randy Leonard,,Oregon,None,0,0,0,1,0,0,1
Randy Hopper,,Wisconsin,Republican,0,0,0,0,0,1,1
Ramey Ko,,Texas,Democrat,0,0,0,0,0,1,1
Ralph Peters,,,Republican,0,0,0,1,0,0,1
Ralph Mollis,,Rhode Island,Democrat,0,0,0,1,0,0,1
Ralph Long,,Georgia,Democrat,0,0,0,1,0,0,1
Ralph Hudgens,,Georgia,Republican,0,1,0,0,0,0,1
Raj Shah,,,Democrat,1,0,0,0,0,0,1
Rainbow/Push Coalition,,,Democrat,0,0,1,0,0,0,1
Raging Elephants,,Texas,Republican,0,0,0,0,1,0,1
Rafael Cruz,,Texas,Republican,0,0,0,1,0,0,1
Rafael Anchia,,,Democrat,1,0,0,0,0,0,1
Rachel Siegel,,,Progressive Party,0,0,0,1,0,0,1
R2Rmerge,,,None,0,0,0,0,1,0,1
Quentin Miller,,,Democrat,1,0,0,0,0,0,1
Quentin Fulks,,,Activist,0,0,1,0,0,0,1
Public Notice,,,None,0,1,0,0,0,0,1
Public Interest Legal Foundation,,,Republican,0,0,0,0,1,0,1
Public Comments At A Common Core Hearing,,,None,0,0,0,0,1,0,1
Providence City Council,,,None,0,0,0,0,1,0,1
Protect Your Vote Ohio,,,Organization,0,1,0,0,0,0,1
Protect Your Vote,,,None,0,0,1,0,0,0,1
Protect Our Care,,,Democrat,0,0,1,0,0,0,1
Protect Oregon Driver Licenses,,Oregon,Organization,0,0,0,1,0,0,1
Protect Families First,,Rhode Island,Organization,0,0,0,0,1,0,1
Protect American Jobs,,,Organization,0,0,0,0,1,0,1
Project Republic,,,None,0,0,0,0,1,0,1
Progressive Change Campaign Committee And Democracy For America,,,Organization,0,0,1,0,0,0,1
Progress For Austin Pac,,,None,1,0,0,0,0,0,1
Progress Florida,,,None,1,0,0,0,0,0,1
Pro Conservative News,,,None,0,0,0,0,0,1,1
Principled Pac,,,Republican,0,0,0,0,0,1,1
Pricey Harrison,,,Democrat,0,1,0,0,0,0,1
Preston Smith,,Georgia,Republican,0,0,0,0,0,1,1
Preserve America Pac,,,Republican,0,0,0,0,1,0,1
Pray In Jesus Name Project,,,None,0,0,1,0,0,0,1
Portlanders For Water Reform,,,None,0,0,0,1,0,0,1
Portland Community College,,Oregon,None,0,0,0,0,1,0,1
Portland Bureau Of Transportation (Pbot),,,None,0,0,1,0,0,0,1
Politics Watchdog,,,None,0,0,0,0,0,1,1
Politics Elite Trump,,,None,0,0,0,0,0,1,1
Political Thinkers,,,None,0,0,0,0,1,0,1
Political Insider,,,None,0,0,0,0,0,1,1
Police Chief Billy Grogan,,Georgia,None,0,1,0,0,0,0,1
Plantsneedco2.Org,,,None,0,0,0,0,1,0,1
Planned Parenthood Votes,,New York,None,0,0,1,0,0,0,1
Planned Parenthood Pac,,,None,0,0,0,1,0,0,1
Planned Parenthood Action Fund,,"Washington, D.C.",None,0,0,0,1,0,0,1
Pj Media,,,None,0,0,1,0,0,0,1
Pipo News,,,None,0,0,0,0,1,0,1
Piers Morgan,,,Talk show host,0,0,0,0,1,0,1
Physicians For Fair Coverage,,,Organization,0,0,0,0,1,0,1
Phyllis Schlafly,,Missouri,Republican,0,0,0,0,1,0,1
Philip Keefe,,Rhode Island,Labor leader,0,0,0,0,1,0,1
Philadelphia Daily News,,,None,0,0,1,0,0,0,1
Phil Ting,,,Democrat,0,0,0,0,1,0,1
Phil Ruffin,,Nevada,Republican,0,0,0,0,1,0,1
Phil Roe,,Tennessee,Republican,0,0,0,0,1,0,1
Phil Robertson,,Louisiana,None,0,0,0,1,0,0,1
Phil Mcgraw,,,Talk show host,0,0,0,0,1,0,1
Phil King,,Texas,Republican,0,0,0,1,0,0,1
Phil Kerpen,,"Washington, D.C.",Republican,0,1,0,0,0,0,1
Phil Kent,,Georgia,Republican,0,0,0,0,1,0,1
Phil Burress,,Ohio,Republican,0,0,1,0,0,0,1
Phil Bredesen,,,Democrat,0,1,0,0,0,0,1
Pharmaceutical Research And Manfacturers Of America,,,None,0,0,0,1,0,0,1
Pew Environment Group,,,Organization,0,0,0,1,0,0,1
Peter Shumlin,,Vermont,Democrat,0,0,1,0,0,0,1
Peter Pantuso,,"Washington, D.C.",None,0,0,1,0,0,0,1
Peter Nightingale,,Rhode Island,Newsmaker,0,1,0,0,0,0,1
Peter Nehr,,Florida,Republican,0,0,1,0,0,0,1
Peter Navarro,,,Democrat,0,0,0,0,0,1,1
Peter Morici,,,Republican,0,0,0,1,0,0,1
Peter Lavelle,,,Journalist,0,0,0,0,0,1,1
Peter Feigin,,,None,0,0,0,0,1,0,1
Peter Courtney,,,Democrat,0,1,0,0,0,0,1
Peter Beinart,,,None,0,1,0,0,0,0,1
Pete Winstead,,,None,0,0,0,0,1,0,1
Pete Olson,,,Republican,0,0,0,0,0,1,1
Pete Hoekstra,,,Republican,0,0,0,0,1,0,1
Perry Thurston,,,Democrat,0,1,0,0,0,0,1
Penny Pritzker,,"Washington, D.C.",Democrat,0,1,0,0,0,0,1
Penny Bernard Schaber,,,Democrat,0,0,0,1,0,0,1
Peggy Noonan,,,Journalist,0,1,0,0,0,0,1
Paula Jean Swearengin,,,Democrat,0,1,0,0,0,0,1
Paul Wolfowitz,,New York,None,0,0,0,1,0,0,1
Paul Valletta,,Rhode Island,Labor leader,0,0,0,1,0,0,1
Paul Summers,,Tennessee,None,0,1,0,0,0,0,1
Paul Stekler,,Texas,None,0,0,1,0,0,0,1
Paul Saldaña,,,Democrat,0,0,1,0,0,0,1
Paul Romero,,,Republican,0,0,0,0,1,0,1
Paul Maner,,,Republican,0,0,0,0,0,1,1
Paul Levesque,,Connecticut,None,0,1,0,0,0,0,1
Paul Lepage,,,Republican,0,0,0,0,0,1,1
Paul Howard,,Georgia,None,0,1,0,0,0,0,1
Paul Hipp,,New York,None,0,1,0,0,0,0,1
Paul Gosar,,,Republican,0,0,0,0,0,1,1
Paul Gigot,,,Journalist,0,0,1,0,0,0,1
Paul Farrow,,,Republican,0,0,1,0,0,0,1
Paul Espinosa,,,Republican,0,0,0,1,0,0,1
Paul Davis,,,Democrat,0,0,0,1,0,0,1
Paul Babeu,,,Republican,0,0,0,1,0,0,1
"Paul ""Skip"" Stam",,,Republican,0,0,1,0,0,0,1
Patty Judge,,Iowa,Democrat,0,0,1,0,0,0,1
Patti Doyle,,Rhode Island,Organization,0,1,0,0,0,0,1
Patriotnetwork.One,,,None,0,0,0,0,1,0,1
Patriotcrier.Com,,,None,0,0,0,0,0,1,1
Patriot News Alerts,,,None,0,0,0,1,0,0,1
Patriot Majority Pac,,,None,0,0,0,1,0,0,1
Patrick Rose,,Texas,Democrat,0,0,0,1,0,0,1
Patrick Moore,,,None,0,0,0,1,0,0,1
Patrick Mckenna,,,None,0,0,1,0,0,0,1
Patrick Johnston,,Ohio,None,0,0,0,0,0,1,1
Patrick Gallivan,,,Republican,0,1,0,0,0,0,1
Patricia Pike,,,Republican,1,0,0,0,0,0,1
Patricia Mccloskey,,,Republican,0,0,0,0,1,0,1
Patricia Farley,,,Democrat,0,1,0,0,0,0,1
Patricia Fahy,,,Democrat,0,0,0,1,0,0,1
Patients First,,"Washington, D.C.",None,0,0,0,1,0,0,1
Pat Stevens,,Georgia,None,0,0,0,1,0,0,1
Pat Kreitlow,,,Democrat,0,0,0,0,0,1,1
Pat Cipollone,,,Republican,0,0,0,0,1,0,1
Pat Carlson,,Texas,Republican,1,0,0,0,0,0,1
Parker Briden,,,Republican,0,0,0,1,0,0,1
Pari Sabety,,Ohio,None,0,0,1,0,0,0,1
Pardeep Kaleka,,,Activist,0,1,0,0,0,0,1
Pam Davidson,,Georgia,Republican,0,0,1,0,0,0,1
Paige Kreegel,,Florida,Republican,0,0,0,0,1,0,1
Oxfam Ireland,,,None,0,0,0,0,0,1,1
Oxfam America,,,None,0,1,0,0,0,0,1
Our Principles Pac,,,Republican,1,0,0,0,0,0,1
"Our Portland, Our Schools",,,Organization,0,0,1,0,0,0,1
Our Democracy 2020,,,Organization,0,0,1,0,0,0,1
"Our City, Our Safety, Our Choice",,,Organization,0,0,1,0,0,0,1
Other Space,,,None,0,0,1,0,0,0,1
Organizers For Bernie 2020,,,Democrat,0,0,0,0,1,0,1
Oregon Transformation Project,,,Republican,0,0,0,1,0,0,1
Oregon Right To Life Pac,,,None,1,0,0,0,0,0,1
Oregon Pta,,,Organization,1,0,0,0,0,0,1
Oregon League Of Conservation Voters,,,None,0,0,0,1,0,0,1
Oregon Healthy Kids,,Oregon,None,0,1,0,0,0,0,1
Oregon Health Authority,,,None,0,0,0,0,1,0,1
Oregon Food Bank,,Oregon,None,0,0,1,0,0,0,1
Oregon Education Association,,Oregon,None,0,1,0,0,0,0,1
Oregon Department Of Fish And Wildlife,,,None,1,0,0,0,0,0,1
Oregon Department Of Agriculture,,,None,0,0,1,0,0,0,1
Oregon Citizens Lobby,,Oregon,Organization,0,0,0,0,1,0,1
Oregon Catalyst,,,Organization,0,0,0,0,1,0,1
Oregon Business Association,,Oregon,Organization,0,0,1,0,0,0,1
Oregon 2014,,Oregon,Organization,1,0,0,0,0,0,1
Ora Houston,,Texas,None,0,0,0,0,1,0,1
Onward Ohio,,,Republican,0,0,0,1,0,0,1
Only Politics,,,None,0,0,0,0,0,1,1
Online Petition,,,None,0,1,0,0,0,0,1
Omar Rachid,,,None,0,1,0,0,0,0,1
Oliver North,,,Republican,0,0,0,0,1,0,1
Oklahoma Council Of Public Affairs,,,Republican,0,0,0,1,0,0,1
Ohioans Against Deceptive Rx Ballot Issue,,,None,0,0,0,1,0,0,1
Ohio Taxpayers For Lower Drug Prices,,,None,0,0,0,1,0,0,1
Ohio Oil And Gas Association,,,None,0,0,0,0,0,1,1
Ohio House Republican Organizational Committee,,Ohio,Republican,0,0,0,0,1,0,1
Ohio Federation Of Teachers,,,None,0,0,0,1,0,0,1
Ohio Department Of Transportation,,,None,1,0,0,0,0,0,1
Ohio Coal Association,,Ohio,None,0,1,0,0,0,0,1
Ohio Alliance For Retired Americans,,,None,0,0,0,0,1,0,1
Occupy Wall Street,,New York,Activist,0,1,0,0,0,0,1
Occupy Providence,,,Organization,0,0,0,0,1,0,1
Occupied Wall Street Journal,,New York,None,0,0,1,0,0,0,1
Occupational Knowledge International,,,Organization,0,0,1,0,0,0,1
Obama Girl,,,None,1,0,0,0,0,0,1
Oath Keepers,,,Republican,0,0,0,1,0,0,1
Ny Fox News,,,None,0,0,0,0,0,1,1
Ny Evening News,,,None,0,0,0,0,0,1,1
Nrt Online,,,None,0,0,0,0,0,1,1
Nowtrump.Com,,,None,0,0,0,0,0,1,1
Now8News.Com,,,None,0,0,0,0,0,1,1
Now Or Never Pac,,,None,0,0,0,0,1,0,1
Nova Magazine,,,None,0,0,0,0,0,1,1
Nourtey,,,None,0,0,0,0,1,0,1
North Korean Foreign Ministry,,,None,1,0,0,0,0,0,1
North Dakota Democratic–Nonpartisan League Party,,,Democrat,0,0,0,0,0,1,1
North Carolina Healthcare Association,,,None,0,0,1,0,0,0,1
Norm Eisen,,,None,1,0,0,0,0,0,1
Norcross City Council,,Georgia,None,1,0,0,0,0,0,1
Noah Smith,,,None,1,0,0,0,0,0,1
No On 67,,,Organization,0,0,1,0,0,0,1
No On 60 Campaign Against Condom Requirement In Adult Films,,,Organization,0,0,1,0,0,0,1
Nina Perales,,California,None,0,1,0,0,0,0,1
Nikki Bowmar,,,None,0,1,0,0,0,0,1
Nikema Williams,,Georgia,Democrat,0,0,1,0,0,0,1
Nik Kovac,,Wisconsin,None,0,0,0,0,1,0,1
Nicolle Wallace,,,Journalist,0,0,0,0,0,1,1
Nicole Malliotakis,,,Republican,0,1,0,0,0,0,1
Nickie Antonio,,Ohio,Democrat,0,0,0,1,0,0,1
Nick Tsiongas,,Rhode Island,Newsmaker,1,0,0,0,0,0,1
Nick Seymour,,,None,0,0,1,0,0,0,1
Nick Rahall,,West Virginia,Democrat,0,0,0,0,1,0,1
Nick Gillespie,,"Washington, D.C.",None,0,1,0,0,0,0,1
Nick Ciparro,,Tennessee,Republican,0,0,0,0,0,1,1
Nicholas Scutari,,New Jersey,Democrat,1,0,0,0,0,0,1
Nicholas Kettle,,Rhode Island,Republican,0,0,0,1,0,0,1
Nicholas Gorham,,Rhode Island,Republican,1,0,0,0,0,0,1
Nia Gill,,New Jersey,Democrat,1,0,0,0,0,0,1
Nfl Players Association,,,None,0,0,0,0,1,0,1
Newsweek,,,None,0,1,0,0,0,0,1
Newstarget,,,None,0,0,0,1,0,0,1
Newsmax,,Florida,None,0,1,0,0,0,0,1
Newslo.Com,,,None,0,0,0,0,0,1,1
Newsexaminer.Net,,,None,0,0,0,0,0,1,1
News.Groopspeak.Com,,,None,0,0,0,0,1,0,1
New York Times Editorial Board,,,Organization,0,0,0,0,1,0,1
New York Times,,,None,0,0,0,1,0,0,1
New York Republican State Committee,,,Republican,0,0,0,0,0,1,1
New York Post,,,None,0,0,0,1,0,0,1
New York City Police Benevolent Association,,,None,0,1,0,0,0,0,1
New Republican Pac,,,Republican,0,0,0,1,0,0,1
New Leadership Pac,,,Republican,1,0,0,0,0,0,1
New Jersey Senate Democrats,,New Jersey,Democrat,0,1,0,0,0,0,1
New Jersey Assembly Democrats,,New Jersey,Democrat,0,0,1,0,0,0,1
New Georgia Encyclopedia,,Georgia,None,1,0,0,0,0,0,1
Nevada Republican Party,,,Republican,0,0,0,0,1,0,1
Nevada Assembly Republican Candidates,,Nevada,Republican,0,0,0,0,1,0,1
Nelson Wolff,,Texas,Democrat,0,0,0,1,0,0,1
Neil Cavuto,,,Republican,0,0,0,1,0,0,1
Nationwide,,Ohio,None,0,1,0,0,0,0,1
National Review,,,None,1,0,0,0,0,0,1
National Republican Trust Pac,,,Republican,0,0,0,1,0,0,1
National Partnership For Women & Families,,,Organization,1,0,0,0,0,0,1
National Federation Of The Blind,,,Organization,0,0,1,0,0,0,1
National Education Association,,,None,0,1,0,0,0,0,1
National Border Patrol Council,,,None,0,1,0,0,0,0,1
National Association Of Realtors,,,None,0,1,0,0,0,0,1
National Association Of Manufacturers,,,None,0,0,1,0,0,0,1
Nation Of Islam Research Group,,,None,0,0,0,0,0,1,1
Nate Walker,,,Republican,0,0,0,1,0,0,1
Natasha Marcus,,,Democrat,0,0,1,0,0,0,1
Nancy Rotering,,,Democrat,1,0,0,0,0,0,1
Nancy Pfotenhauer,,,Republican,0,0,0,0,0,1,1
Nancy Nusbaum,,Wisconsin,Democrat,0,0,0,0,0,1,1
Nancy Nathanson,,Oregon,Democrat,1,0,0,0,0,0,1
Nancy Jester,,Georgia,None,0,0,1,0,0,0,1
Nancy Gordeuk,,Georgia,None,0,0,1,0,0,0,1
Naha Daily,,,None,0,0,0,0,0,1,1
Nadine Smith,,Florida,Democrat,0,1,0,0,0,0,1
Myra Crownover,,Texas,Republican,0,0,0,0,0,1,1
Musclecarusa.Info,,,None,0,0,0,0,0,1,1
Multnomah County Library Foundation,,Oregon,Organization,0,0,0,0,1,0,1
Multnomah County,,,None,1,0,0,0,0,0,1
Mt. Hood Community College,,,None,0,1,0,0,0,0,1
Motion Picture Association Of America,,,None,0,1,0,0,0,0,1
Mothers Against Drunk Driving,,Wisconsin,Organization,1,0,0,0,0,0,1
Mother Jones,,,None,1,0,0,0,0,0,1
Morten Jerven,,,None,0,1,0,0,0,0,1
Morgan Brittany,,,Republican,0,0,0,0,0,1,1
Mooncult,,,Newsmaker,0,0,0,0,1,0,1
Monica Wallace,,,Democrat,1,0,0,0,0,0,1
Molly White,,Texas,Republican,0,0,1,0,0,0,1
Molly Gray,,,Democrat,0,0,0,0,1,0,1
Mitch Carmichael,,,Republican,0,1,0,0,0,0,1
Missouri Gop,,,Republican,0,0,0,1,0,0,1
Missouri Department Of Economic Development,,,None,0,1,0,0,0,0,1
Missouri Democratic Party,,,Democrat,0,0,1,0,0,0,1
Miss California Usa,,,None,1,0,0,0,0,0,1
Miscellany Blue,,New Hampshire,Democrat,0,1,0,0,0,0,1
Miriam Martinez,,Texas,Republican,0,0,0,0,1,0,1
Mira Signer,,,Organization,1,0,0,0,0,0,1
Minka Kelly,,,Newsmaker,0,0,1,0,0,0,1
Mindy Montford,,Texas,Democrat,0,0,0,0,1,0,1
Mimi Walters,,,Republican,0,0,0,0,1,0,1
Milwaukee Police Association,,Wisconsin,None,0,0,0,1,0,0,1
Milly Silva,,New Jersey,Democrat,0,1,0,0,0,0,1
Milele Coggs,,Wisconsin,None,1,0,0,0,0,0,1
Mike Thompson,,California,Democrat,0,1,0,0,0,0,1
Mike Shirkey,,,Republican,0,0,0,0,1,0,1
Mike Shields,,,Republican,0,0,0,0,1,0,1
Mike Scott,,Florida,Republican,1,0,0,0,0,0,1
Mike Schaufler,,,Democrat,0,0,0,1,0,0,1
Mike Ryan,,Florida,Democrat,0,0,1,0,0,0,1
Mike Rawlings,,Texas,Democrat,0,0,1,0,0,0,1
Mike Prendergast,,Florida,Republican,0,0,0,0,0,1,1
Mike Plant,,Georgia,None,0,1,0,0,0,0,1
Mike Mullen,,,None,1,0,0,0,0,0,1
Mike Mcfadden,,,Republican,0,0,0,0,1,0,1
Mike Keown,,Georgia,Republican,0,0,1,0,0,0,1
Mike Hashimoto,,Texas,None,1,0,0,0,0,0,1
Mike Gibbons,,,Republican,0,0,0,0,1,0,1
Mike Fortner,,,Republican,1,0,0,0,0,0,1
Mike Ford,,Texas,None,0,0,0,0,1,0,1
Mike Enzi,,Wyoming,Republican,1,0,0,0,0,0,1
Mike Duggan,,,Democrat,0,0,1,0,0,0,1
Mike Dudgeon,,Georgia,Republican,1,0,0,0,0,0,1
Mike Crute,,,Talk show host,0,1,0,0,0,0,1
Mike Coffman,,Colorado,Republican,0,0,0,0,1,0,1
Mike Cernovich,,California,None,0,0,0,0,0,1,1
Mike Bodker,,,Republican,1,0,0,0,0,0,1
Mike Berlon,,Georgia,Democrat,0,0,0,1,0,0,1
Mike Bennett,,Florida,Republican,0,0,0,0,0,1,1
Mika Brzezinski,,,None,0,0,0,0,0,1,1
Miguel Diaz De La Portilla,,,Republican,0,0,0,0,1,0,1
Mickie Williams,,,None,0,0,1,0,0,0,1
